timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-04-06T20:28:29,emission-impossible,015ef645-eaa4-4234-bac3-18e82e3d9db5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,254.185579,0.0004687667480694,1.844190964387828e-06,0.03411479925269,0.0,10.0,2.406943262565293e-06,0.0,0.0007057790897222,0.0007081860329847,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9335,50.0598,31.11356735229492,process,1.1345238095238095,0,34.94206349206349,10.871863032144214,N,1.0,0.0
2026-04-08T21:26:50,emission-impossible,59ca9d03-5bb1-41fb-af98-c184a3dd78c9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,530.5460914000003,0.0009777040997297,1.842825940249184e-06,0.0272603714760957,0.0,10.0,4.002142895740529e-06,0.0,0.0014730573769444,0.0014770595198401,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,0.6222857142857142,0,44.696000000000005,13.906546434674944,N,1.0,0.0
2026-04-08T21:42:10,emission-impossible,dda1e1c3-288a-4c5b-8341-95604c41db6e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,566.7843272,0.0010472207907477,1.8476530498315208e-06,0.0532532821851527,0.0,10.0,8.398890053765394e-06,0.0,0.0015736824766666,0.0015820813667204,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,1.1491978609625668,0,46.90980392156863,14.595831872732669,N,1.0,0.0
2026-04-08T21:46:25,emission-impossible,d459acfd-caff-43d2-a86a-4d23cffe0dee,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,249.55119490000016,0.0004642512743095,1.8603448262213144e-06,0.1209495728184277,0.0,10.0,8.519498094759241e-06,0.0,0.000692844815,0.0007013643130947,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,0.6052631578947368,0,47.49311740890688,14.775981671414394,N,1.0,0.0
2026-04-08T21:49:12,emission-impossible,7b79dc56-c66c-49c3-ae88-315ae9b9e53f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,163.38628500000004,0.000301304788964,1.844125343593241e-06,0.034053730535717,0.0,10.0,1.5507281891621442e-06,0.0,0.0004536433402777,0.0004551940684669,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,0.2708074534161491,0,48.69378881987578,15.151807631024663,N,1.0,0.0
2026-04-08T21:50:08,emission-impossible,f3c9d1cd-2704-49c0-b487-b5c00789acdd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,51.37394670000003,9.495907252706702e-05,1.848389672718428e-06,0.0533842005738939,0.0,10.0,8.458828074967182e-07,0.0,0.0001426128611111,0.0001434587439186,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,2.342,0,49.432,15.38213493347168,N,1.0,0.0
2026-04-08T21:51:07,emission-impossible,8b384b5b-754c-44f1-b3cf-526102707c8c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,53.66759640000009,9.92371549383404e-05,1.8491074986607792e-06,0.0584436069188082,0.0,10.0,9.302306825298352e-07,0.0,0.0001489915958333,0.0001499218265158,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,0.1698113207547169,0,49.04528301886793,15.26175999191572,N,1.0,0.0
2026-04-11T14:45:21,emission-impossible,406630df-2b2c-4383-aaae-b5802531daf8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,197.0869894999996,0.0003637246170602,1.8455029324007624e-06,0.0431501194472397,0.0,10.0,2.334775683073597e-06,0.0,0.0005471596044444,0.0005494943801275,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,1.5753846153846154,0,50.04461538461539,15.57140158628806,N,1.0,0.0
2026-04-11T14:45:41,emission-impossible,f73014f6-682f-46cf-b71e-21d8f507b74b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.393969799999468,2.6639891370098345e-05,1.850767490848795e-06,0.0719209649681521,0.0,10.0,2.874823832782835e-07,0.0,3.995854416666588e-05,4.024602654994417e-05,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,7.142857142857143,0,50.02857142857143,15.562467575073242,N,1.0,0.0
2026-04-12T11:14:36,emission-impossible,5f24fffe-631f-4b85-944c-e45124bb2705,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,439.2880384999999,0.0008161142246678,1.8578111697614085e-06,0.10837713843902,0.0,10.0,1.3513775667679209e-05,0.0,0.0012194249888889,0.0012329387645565,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,5.2383908045977,0,53.28045977011495,16.576730583454,N,1.0,0.0
2026-04-12T11:30:01,emission-impossible,7933cd8e-7c0d-4e76-8f3c-eaba0aafe3ea,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,335.00876139999946,0.0006192186746488,1.8483656130698144e-06,0.0588373656863128,0.0,10.0,5.504700370234794e-06,0.0,0.0009299755113888,0.0009354802117591,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,4.046084337349398,0,51.87319277108434,16.139416729111268,N,1.0,0.0
2026-04-12T11:36:43,emission-impossible,2237c376-82d4-4434-b4ea-480d31bc4aba,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,397.1244251999997,0.0007329051212176,1.8455302034079475e-06,0.0452894441556728,0.0,10.0,4.900678188086842e-06,0.0,0.0011023305247222,0.0011072312029103,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,4.367766497461929,0,51.93578680203046,16.159372077980624,N,1.0,0.0
2026-04-12T13:17:59,emission-impossible,52c58dea-b38a-4787-9f2c-b097cc3aac97,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2505.811787299999,0.0046349933184585,1.849697308452968e-06,0.0684449150391779,0.0,10.0,4.7627575564297465e-05,0.0,0.0069546556380555,0.0070022832136198,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,12.692471819645732,0,50.97463768115942,15.86005115048321,N,1.0,0.0
2026-04-12T13:37:17,emission-impossible,2d1020b5-2763-4e28-b661-5bbb61b8358e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1151.8738840999995,0.0021378971218915,1.8560166624161384e-06,0.1002110129722418,0.0,10.0,3.208544863193701e-05,0.0,0.003197727433611,0.003229812882243,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.11356735229492,process,2.3293345008756567,0,46.21865148861646,14.380306858523715,N,1.0,0.0
2026-04-12T13:37:40,emission-impossible,956e5251-5d05-40bf-be7e-e8df9b586f8f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,17.73348199999964,3.2729421045810215e-05,1.8456285711859002e-06,0.08458378556880897,0.0,10.0,2.4353272747062215e-07,0.0,4.920220750000226e-05,4.944574022747288e-05,0.0,Poland,POL,lesser poland,,,Windows-11-10.0.26200-SP0,3.12.13,3.2.6,16,AMD Ryzen 7 7700 8-Core Processor,0,,19.9751,50.053,31.113567352294922,process,0.0,0,48.40588235294118,15.059613620533662,N,1.0,0.0
